first_trade_ts,last_trade_ts,profiling
1723162213.7296,1723162224.4335,"{'delta': -3458671.1435999926, 'trade_count': 799, 'buy_trade_count': 130, 'sell_trade_count': 669, 'val': 61400, 'vah': 61400, 'poc': 61400, 'poc_idx': 0, 'poc_volume': 5045026, 'total_volume': 5045026.523999989, 'bid_volume': 793177.6902000007, 'ask_volume': 4248839.0626999885, 'profiles': {61400.0: {'volume': 5045026.523999989, 'bid': 793177.6902000007, 'ask': 4251848.833799988, 'delta': -3458671.1435999926, 't_count': 799, 't_b_count': 130, 't_a_count': 669}}}"
1723162224.4406,1723162243.7372,"{'delta': 749399.9976999997, 'trade_count': 745, 'buy_trade_count': 394, 'sell_trade_count': 351, 'val': 61400, 'vah': 61400, 'poc': 61400, 'poc_idx': 1, 'poc_volume': 4462550, 'total_volume': 5005764.1401, 'bid_volume': 2877582.0688999984, 'ask_volume': 2127384.171099999, 'profiles': {61400.0: {'volume': 4462550.210399996, 'bid': 2591581.9719999996, 'ask': 1870968.2383999976, 'delta': 720613.7335999998, 't_count': 657, 't_b_count': 357, 't_a_count': 300}, 61350.0: {'volume': 543213.9296999997, 'bid': 286000.0969, 'ask': 257213.83279999992, 'delta': 28786.264100000004, 't_count': 88, 't_b_count': 37, 't_a_count': 51}}}"
1723162243.7372,1723162256.3808,"{'delta': 517664.8281, 'trade_count': 564, 'buy_trade_count': 286, 'sell_trade_count': 278, 'val': 61400, 'vah': 61400, 'poc': 61400, 'poc_idx': 0, 'poc_volume': 5001907, 'total_volume': 5001907.267499995, 'bid_volume': 2759786.0477999942, 'ask_volume': 2237209.8597000004, 'profiles': {61400.0: {'volume': 5001907.267499995, 'bid': 2759786.0477999942, 'ask': 2242121.2197000007, 'delta': 517664.8281, 't_count': 564, 't_b_count': 286, 't_a_count': 278}}}"
1723162256.3808,1723162266.8611,"{'delta': 3800907.8137000026, 'trade_count': 729, 'buy_trade_count': 571, 'sell_trade_count': 158, 'val': 61400, 'vah': 61500, 'poc': 61450, 'poc_idx': 1, 'poc_volume': 3193763, 'total_volume': 5001055.275299993, 'bid_volume': 4366957.841399997, 'ask_volume': 600073.7308000003, 'profiles': {61400.0: {'volume': 1725345.0103999998, 'bid': 1616013.3021999996, 'ask': 109331.70819999996, 'delta': 1506681.5939999993, 't_count': 216, 't_b_count': 152, 't_a_count': 64}, 61450.0: {'volume': 3193763.3656, 'bid': 2703021.3429999985, 'ask': 490742.02260000014, 'delta': 2212279.3203999987, 't_count': 504, 't_b_count': 410, 't_a_count': 94}, 61500.0: {'volume': 81946.89929999998, 'bid': 81946.89929999998, 'ask': 0, 'delta': 81946.89929999998, 't_count': 9, 't_b_count': 9, 't_a_count': 0}}}"
1723162266.863,1723162305.2791,"{'delta': -294550.4885999995, 'trade_count': 1043, 'buy_trade_count': 376, 'sell_trade_count': 667, 'val': 61350, 'vah': 61450, 'poc': 61400, 'poc_idx': 1, 'poc_volume': 1953317, 'total_volume': 5000569.1432, 'bid_volume': 2350861.2057999996, 'ask_volume': 2616828.647899999, 'profiles': {61450.0: {'volume': 1135435.7024000003, 'bid': 626682.8954999999, 'ask': 508752.80689999985, 'delta': 117930.08859999993, 't_count': 276, 't_b_count': 138, 't_a_count': 138}, 61400.0: {'volume': 1953317.5328999977, 'bid': 1215841.0450999988, 'ask': 737476.4878, 'delta': 478364.5573000006, 't_count': 397, 't_b_count': 153, 't_a_count': 244}, 61350.0: {'volume': 1911815.9079000014, 'bid': 510485.3867000001, 'ask': 1401330.5212000008, 'delta': -890845.1344999999, 't_count': 370, 't_b_count': 85, 't_a_count': 285}}}"
1723162305.5047,1723162317.1893,"{'delta': 3772041.219999998, 'trade_count': 538, 'buy_trade_count': 371, 'sell_trade_count': 167, 'val': 61350, 'vah': 61400, 'poc': 61400, 'poc_idx': 1, 'poc_volume': 3360697, 'total_volume': 5007403.2038000105, 'bid_volume': 4382234.400899997, 'ask_volume': 617619.6336000001, 'profiles': {61350.0: {'volume': 1646705.5158000002, 'bid': 1354393.3783, 'ask': 292312.1374999999, 'delta': 1062081.2408, 't_count': 202, 't_b_count': 108, 't_a_count': 94}, 61400.0: {'volume': 3360697.6879999964, 'bid': 3035328.8335999963, 'ask': 325368.8544, 'delta': 2709959.979199996, 't_count': 336, 't_b_count': 263, 't_a_count': 73}}}"
1723162317.1893,1723162324.9857,"{'delta': 252560.15079999986, 'trade_count': 461, 'buy_trade_count': 242, 'sell_trade_count': 219, 'val': 61400, 'vah': 61400, 'poc': 61400, 'poc_idx': 1, 'poc_volume': 3968626, 'total_volume': 5113558.849599998, 'bid_volume': 2683059.5001999997, 'ask_volume': 2380474.329700001, 'profiles': {61400.0: {'volume': 3968626.284699997, 'bid': 2555529.5181, 'ask': 1413096.7666000007, 'delta': 1142432.7515000005, 't_count': 369, 't_b_count': 216, 't_a_count': 153}, 61350.0: {'volume': 1144932.5648999999, 'bid': 127529.9821, 'ask': 1017402.5827999999, 'delta': -889872.6006999997, 't_count': 92, 't_b_count': 26, 't_a_count': 66}}}"
1723162324.9857,1723162350.6672,"{'delta': -1769676.0918000008, 'trade_count': 824, 'buy_trade_count': 271, 'sell_trade_count': 553, 'val': 61350, 'vah': 61350, 'poc': 61350, 'poc_idx': 0, 'poc_volume': 5010263, 'total_volume': 5010263.475199982, 'bid_volume': 1620293.6916999999, 'ask_volume': 3388742.4375000037, 'profiles': {61350.0: {'volume': 5010263.475199982, 'bid': 1620293.6916999999, 'ask': 3389969.783500004, 'delta': -1769676.0918000008, 't_count': 824, 't_b_count': 271, 't_a_count': 553}}}"
1723162350.6673,1723162361.6658,"{'delta': -1683804.4771999982, 'trade_count': 806, 'buy_trade_count': 232, 'sell_trade_count': 574, 'val': 61300, 'vah': 61350, 'poc': 61300, 'poc_idx': 0, 'poc_volume': 2549445, 'total_volume': 5008195.254799999, 'bid_volume': 1662195.3888000003, 'ask_volume': 3345509.1467999965, 'profiles': {61350.0: {'volume': 2458749.4439999973, 'bid': 923465.4896, 'ask': 1535283.954399998, 'delta': -611818.4647999995, 't_count': 454, 't_b_count': 149, 't_a_count': 305}, 61300.0: {'volume': 2549445.810800001, 'bid': 738729.8991999999, 'ask': 1810715.9116000007, 'delta': -1071986.0124, 't_count': 352, 't_b_count': 83, 't_a_count': 269}}}"
1723162361.6658,1723162400.31,"{'delta': 1187030.1700000004, 'trade_count': 1278, 'buy_trade_count': 678, 'sell_trade_count': 600, 'val': 61350, 'vah': 61450, 'poc': 61400, 'poc_idx': 1, 'poc_volume': 2893765, 'total_volume': 5003552.453599992, 'bid_volume': 3085225.3133999985, 'ask_volume': 1908261.1418, 'profiles': {61350.0: {'volume': 2088657.062900002, 'bid': 1101008.0474999996, 'ask': 987649.0153999974, 'delta': 113359.03210000081, 't_count': 621, 't_b_count': 239, 't_a_count': 382}, 61400.0: {'volume': 2893765.0112999994, 'bid': 1973214.3102000018, 'ask': 920550.7011000003, 'delta': 1052663.6090999993, 't_count': 638, 't_b_count': 421, 't_a_count': 217}, 61450.0: {'volume': 21130.3794, 'bid': 21068.954100000003, 'ask': 61.42530000000001, 'delta': 21007.528800000004, 't_count': 19, 't_b_count': 18, 't_a_count': 1}}}"
