first_trade_ts,last_trade_ts,profiling
1722473292.8443,1722473374.3185,"{'delta': 1688905.8765999943, 'trade_count': 1928, 'buy_trade_count': 1234, 'sell_trade_count': 694, 'val': 64400, 'vah': 64450, 'poc': 64450, 'poc_idx': 1, 'poc_volume': 5953389, 'total_volume': 10013765.711999984, 'bid_volume': 5850369.080599997, 'ask_volume': 4162429.917700005}"
1722473374.4321,1722473491.8359,"{'delta': 3112118.855700002, 'trade_count': 2499, 'buy_trade_count': 1931, 'sell_trade_count': 568, 'val': 64500, 'vah': 64550, 'poc': 64500, 'poc_idx': 1, 'poc_volume': 5142975, 'total_volume': 10006242.98809996, 'bid_volume': 6558987.346900004, 'ask_volume': 3446417.3662000005}"
1722473491.8359,1722473680.9336,"{'delta': -2761290.062999996, 'trade_count': 2187, 'buy_trade_count': 1151, 'sell_trade_count': 1036, 'val': 64550, 'vah': 64600, 'poc': 64550, 'poc_idx': 0, 'poc_volume': 4890370, 'total_volume': 10036419.291400008, 'bid_volume': 3636466.4168999996, 'ask_volume': 6398854.677200004}"
1722473680.9336,1722473843.3379,"{'delta': -150987.67550000045, 'trade_count': 1741, 'buy_trade_count': 1104, 'sell_trade_count': 637, 'val': 64550, 'vah': 64600, 'poc': 64600, 'poc_idx': 1, 'poc_volume': 5678117, 'total_volume': 10115988.561699992, 'bid_volume': 4976942.658700002, 'ask_volume': 5129355.001399998}"
1722473843.3379,1722474067.6258,"{'delta': 1290089.6549999975, 'trade_count': 2426, 'buy_trade_count': 1562, 'sell_trade_count': 864, 'val': 64650, 'vah': 64650, 'poc': 64650, 'poc_idx': 1, 'poc_volume': 7061606, 'total_volume': 10031932.581000071, 'bid_volume': 5660623.175999971, 'ask_volume': 4370275.230000001}"
1722474067.6258,1722474198.6264,"{'delta': 7440716.57700001, 'trade_count': 1670, 'buy_trade_count': 1342, 'sell_trade_count': 328, 'val': 64650, 'vah': 64700, 'poc': 64700, 'poc_idx': 2, 'poc_volume': 5077993, 'total_volume': 10040936.4346, 'bid_volume': 8740050.554000009, 'ask_volume': 1271419.5368000001}"
1722474198.6264,1722474248.0289,"{'delta': 6711872.568599975, 'trade_count': 1914, 'buy_trade_count': 1607, 'sell_trade_count': 307, 'val': 64750, 'vah': 64800, 'poc': 64800, 'poc_idx': 2, 'poc_volume': 4823651, 'total_volume': 10029375.95140004, 'bid_volume': 8370171.0452999845, 'ask_volume': 1658751.6913999987}"
1722474248.1399,1722474370.206,"{'delta': -6516928.334200004, 'trade_count': 1286, 'buy_trade_count': 476, 'sell_trade_count': 810, 'val': 64700, 'vah': 64750, 'poc': 64700, 'poc_idx': 0, 'poc_volume': 6938462, 'total_volume': 10063674.95040002, 'bid_volume': 1762490.2513000013, 'ask_volume': 8290042.693500016}"
1722474370.206,1722474610.8736,"{'delta': -3923608.2868000115, 'trade_count': 3139, 'buy_trade_count': 1006, 'sell_trade_count': 2133, 'val': 64500, 'vah': 64650, 'poc': 64550, 'poc_idx': 1, 'poc_volume': 3321083, 'total_volume': 10005335.832399955, 'bid_volume': 3040863.7727999995, 'ask_volume': 6900745.864099992}"
1722474610.8736,1722474798.0274,"{'delta': 7107282.95939999, 'trade_count': 1590, 'buy_trade_count': 1199, 'sell_trade_count': 391, 'val': 64600, 'vah': 64650, 'poc': 64600, 'poc_idx': 2, 'poc_volume': 4217414, 'total_volume': 10006483.741399977, 'bid_volume': 8555139.542899977, 'ask_volume': 1401862.029000001}"
1722474798.0321,1722474945.9898,"{'delta': -7840635.840200007, 'trade_count': 1038, 'buy_trade_count': 333, 'sell_trade_count': 705, 'val': 64600, 'vah': 64600, 'poc': 64600, 'poc_idx': 0, 'poc_volume': 10475536, 'total_volume': 10834618.6562, 'bid_volume': 1475015.6440000008, 'ask_volume': 9337110.257000005}"
1722474945.9906,1722475121.1878,"{'delta': -3770431.162299982, 'trade_count': 1855, 'buy_trade_count': 721, 'sell_trade_count': 1134, 'val': 64500, 'vah': 64600, 'poc': 64500, 'poc_idx': 1, 'poc_volume': 3692477, 'total_volume': 10012781.792300012, 'bid_volume': 3121175.3150000013, 'ask_volume': 6889605.468899998}"
1722475121.1918,1722475215.515,"{'delta': 3935169.758500006, 'trade_count': 1167, 'buy_trade_count': 624, 'sell_trade_count': 543, 'val': 64500, 'vah': 64500, 'poc': 64500, 'poc_idx': 1, 'poc_volume': 8906467, 'total_volume': 10035058.643700013, 'bid_volume': 6975120.250599995, 'ask_volume': 3047236.9629999995}"
1722475215.515,1722475386.1268,"{'delta': -2595314.7373999925, 'trade_count': 2198, 'buy_trade_count': 823, 'sell_trade_count': 1375, 'val': 64400, 'vah': 64450, 'poc': 64400, 'poc_idx': 0, 'poc_volume': 5196616, 'total_volume': 10000506.454400016, 'bid_volume': 3702595.8584999978, 'ask_volume': 6278196.399100012}"
1722475386.1268,1722475479.0759,"{'delta': 3779910.1406000047, 'trade_count': 1428, 'buy_trade_count': 915, 'sell_trade_count': 513, 'val': 64400, 'vah': 64450, 'poc': 64450, 'poc_idx': 1, 'poc_volume': 5539099, 'total_volume': 10004314.369000018, 'bid_volume': 6889404.742900012, 'ask_volume': 3112202.1142000016}"
1722475479.2336,1722475799.8243,"{'delta': 2308792.076300003, 'trade_count': 2259, 'buy_trade_count': 1425, 'sell_trade_count': 834, 'val': 64450, 'vah': 64550, 'poc': 64550, 'poc_idx': 3, 'poc_volume': 3684257, 'total_volume': 10004967.572899982, 'bid_volume': 6155525.395800003, 'ask_volume': 3842612.7792999987}"
1722475799.8243,1722476012.1817,"{'delta': -2820330.100300005, 'trade_count': 2319, 'buy_trade_count': 703, 'sell_trade_count': 1616, 'val': 64450, 'vah': 64450, 'poc': 64450, 'poc_idx': 1, 'poc_volume': 7174706, 'total_volume': 10023937.88369979, 'bid_volume': 3601803.8916999977, 'ask_volume': 6397872.058500151}"
1722476012.1817,1722476109.6293,"{'delta': -7728923.5953, 'trade_count': 2695, 'buy_trade_count': 308, 'sell_trade_count': 2387, 'val': 64350, 'vah': 64400, 'poc': 64400, 'poc_idx': 1, 'poc_volume': 5098413, 'total_volume': 10039815.673699975, 'bid_volume': 1155381.6100000003, 'ask_volume': 8884240.835300004}"
1722476109.6293,1722476131.0064,"{'delta': -1232044.0792999964, 'trade_count': 1186, 'buy_trade_count': 361, 'sell_trade_count': 825, 'val': 64300, 'vah': 64350, 'poc': 64300, 'poc_idx': 0, 'poc_volume': 5433746, 'total_volume': 10024737.452500002, 'bid_volume': 4396346.6866, 'ask_volume': 5628069.092600006}"
1722476131.0064,1722476132.0691,"{'delta': -7683894.676999993, 'trade_count': 2138, 'buy_trade_count': 199, 'sell_trade_count': 1939, 'val': 64250, 'vah': 64300, 'poc': 64300, 'poc_idx': 1, 'poc_volume': 5242856, 'total_volume': 10047536.852200015, 'bid_volume': 1181821.0875999997, 'ask_volume': 8864622.632499993}"
1722476132.0691,1722476135.4578,"{'delta': -6960590.327699997, 'trade_count': 1556, 'buy_trade_count': 253, 'sell_trade_count': 1303, 'val': 64250, 'vah': 64250, 'poc': 64250, 'poc_idx': 0, 'poc_volume': 10015451, 'total_volume': 10015451.5315, 'bid_volume': 1527430.6019000008, 'ask_volume': 8484037.026599996}"
1722476135.4579,1722476149.0546,"{'delta': -5020151.978200003, 'trade_count': 1463, 'buy_trade_count': 397, 'sell_trade_count': 1066, 'val': 64250, 'vah': 64250, 'poc': 64250, 'poc_idx': 1, 'poc_volume': 8278750, 'total_volume': 10009910.925199997, 'bid_volume': 2494879.4735000003, 'ask_volume': 7512140.160800001}"
1722476149.0548,1722476151.0616,"{'delta': -7664729.519800011, 'trade_count': 1603, 'buy_trade_count': 171, 'sell_trade_count': 1432, 'val': 64200, 'vah': 64200, 'poc': 64200, 'poc_idx': 0, 'poc_volume': 10958708, 'total_volume': 10958708.988200024, 'bid_volume': 1640568.1242000002, 'ask_volume': 9311719.254000012}"
1722476151.0627,1722476151.9949,"{'delta': -8102909.277900006, 'trade_count': 1585, 'buy_trade_count': 191, 'sell_trade_count': 1394, 'val': 64150, 'vah': 64150, 'poc': 64150, 'poc_idx': 0, 'poc_volume': 8411623, 'total_volume': 10007948.774300013, 'bid_volume': 952519.7481999989, 'ask_volume': 9040922.56430001}"
1722476151.9949,1722476160.4442,"{'delta': -4211022.098000001, 'trade_count': 1248, 'buy_trade_count': 414, 'sell_trade_count': 834, 'val': 64150, 'vah': 64150, 'poc': 64150, 'poc_idx': 0, 'poc_volume': 9640737, 'total_volume': 10010805.898200028, 'bid_volume': 2899314.3223999995, 'ask_volume': 7105139.958099987}"
1722476160.4442,1722476164.4124,"{'delta': -2408399.0310000028, 'trade_count': 1273, 'buy_trade_count': 344, 'sell_trade_count': 929, 'val': 64100, 'vah': 64150, 'poc': 64100, 'poc_idx': 0, 'poc_volume': 5390294, 'total_volume': 10101970.969399996, 'bid_volume': 3846785.9692, 'ask_volume': 6232030.6391}"
1722476164.4124,1722476188.362,"{'delta': -652975.1237000009, 'trade_count': 2522, 'buy_trade_count': 1842, 'sell_trade_count': 680, 'val': 64100, 'vah': 64150, 'poc': 64150, 'poc_idx': 1, 'poc_volume': 6962646, 'total_volume': 10063738.869699929, 'bid_volume': 4704804.324100015, 'ask_volume': 5357587.520699998}"
1722476188.362,1722476202.482,"{'delta': -6963848.934499997, 'trade_count': 1370, 'buy_trade_count': 366, 'sell_trade_count': 1004, 'val': 64100, 'vah': 64100, 'poc': 64100, 'poc_idx': 0, 'poc_volume': 9453577, 'total_volume': 10055880.592299988, 'bid_volume': 1546015.8288999987, 'ask_volume': 8466646.487599988}"
1722476202.482,1722476239.4893,"{'delta': 6624676.599700005, 'trade_count': 2533, 'buy_trade_count': 2256, 'sell_trade_count': 277, 'val': 64100, 'vah': 64200, 'poc': 64200, 'poc_idx': 2, 'poc_volume': 3639779, 'total_volume': 10004270.949900044, 'bid_volume': 8230344.62550001, 'ask_volume': 1689797.1750999992}"
1722476239.4893,1722476260.333,"{'delta': 5821413.949600002, 'trade_count': 1165, 'buy_trade_count': 945, 'sell_trade_count': 220, 'val': 64250, 'vah': 64250, 'poc': 64250, 'poc_idx': 0, 'poc_volume': 7472400, 'total_volume': 10014485.023399988, 'bid_volume': 7849855.7815, 'ask_volume': 2096535.5368999992}"
1722476260.333,1722476328.9042,"{'delta': 2001972.9276000003, 'trade_count': 1788, 'buy_trade_count': 1087, 'sell_trade_count': 701, 'val': 64300, 'vah': 64300, 'poc': 64300, 'poc_idx': 1, 'poc_volume': 7166120, 'total_volume': 10055392.73700003, 'bid_volume': 5777462.257299983, 'ask_volume': 4026581.354900001}"
1722476328.9042,1722476379.1833,"{'delta': -3910952.5802999972, 'trade_count': 1294, 'buy_trade_count': 490, 'sell_trade_count': 804, 'val': 64200, 'vah': 64200, 'poc': 64200, 'poc_idx': 1, 'poc_volume': 7128071, 'total_volume': 10001627.85849998, 'bid_volume': 3042381.491900003, 'ask_volume': 6954621.186399989}"
